question,answer,source,focus_area,category,is_relevant
What causes Cystic Fibrosis ?,"A defect in the CFTR gene causes cystic fibrosis (CF). This gene makes a protein that controls the movement of salt and water in and out of your body's cells. In people who have CF, the gene makes a protein that doesn't work well. This causes thick, sticky mucus and very salty sweat.
                
Research suggests that the CFTR protein also affects the body in other ways. This may help explain other symptoms and complications of CF.
                
More than a thousand known defects can affect the CFTR gene. The type of defect you or your child has may affect the severity of CF. Other genes also may play a role in the severity of the disease.
                
How Is Cystic Fibrosis Inherited?
                
Every person inherits two CFTR genesone from each parent. Children who inherit a faulty CFTR gene from each parent will have CF.
                
Children who inherit one faulty CFTR gene and one normal CFTR gene are ""CF carriers."" CF carriers usually have no symptoms of CF and live normal lives. However, they can pass the faulty CFTR gene to their children.
                
The image below shows how two parents who are both CF carriers can pass the faulty CFTR gene to their children.
                
Example of an Inheritance Pattern for Cystic Fibrosis",NHLBI,Cystic Fibrosis,Respiratory,True
what research (or clinical trials) is being done for Epilepsy ?,"Scientists are studying the underlying causes of the epilepsies in children, adults, and the elderly, as well as seizures that occur following brain trauma, stroke, and brain tumors. Ongoing research is focused on developing new model systems that can be used to more quickly screen potential new treatments for the epilepsies. The identification of genes or other genetic information that may influence or cause the epilepsies may allow doctors to prevent the disorders or to predict which treatments will be most beneficial to individuals with specific types of epilepsy. Scientists also continue to study how neurotransmitters interact with brain cells to control nerve firing and how non-neuronal cells in the brain contribute to seizures. Researchers funded by the National Institutes of Health have developed a flexible brain implant that could one day be used to treat seizures. Scientists are continually improving MRI and other brain scans that may assist in diagnosing the epilepsies and identify the source, or focus, of the seizures in the brain. Other areas of study include prevention of seizures and the role of inflammation in epilepsy. Patients may enter trials of experimental drugs and surgical interventions.
                
More about epilepsy research",NINDS,Epilepsy,Neurological,True
How to diagnose Urinary Tract Infections in Children ?,"Once the infection has cleared, more tests may be recommended to check for abnormalities in the urinary tract. Repeated infections in an abnormal urinary tract may cause kidney damage. The kinds of tests ordered will depend on the child and the type of urinary infection. Because no single test can tell everything about the urinary tract that might be important, more than one of the tests listed below may be needed.
                
- Kidney and bladder ultrasound. Ultrasound uses a device, called a transducer, that bounces safe, painless sound waves off organs to create an image of their structure. The procedure is performed in a health care providers office, outpatient center, or hospital by a specially trained technician, and the images are interpreted by a radiologista doctor who specializes in medical imaging; anesthesia is not needed. The images can show certain abnormalities in the kidneys and bladder. However, this test cannot reveal all important urinary abnormalities or measure how well the kidneys work.  - Voiding cystourethrogram. This test is an x-ray image of the bladder and urethra taken while the bladder is full and during urination, also called voiding. The childs bladder and urethra are filled with a special dye, called contrast medium, to make the structures clearly visible on the x-ray images. The x-ray machine captures images of the contrast medium while the bladder is full and when the child urinates. The procedure is performed in a health care providers office, outpatient center, or hospital by an x-ray technician supervised by a radiologist, who then interprets the images. Anesthesia is not needed, but sedation may be used for some children. This test can show abnormalities of the inside of the urethra and bladder. The test can also determine whether the flow of urine is normal when the bladder empties.  - Computerized tomography (CT) scan. CT scans use a combination of x rays and computer technology to create three-dimensional (3-D) images. A CT scan may include the injection of contrast medium. CT scans require the child to lie on a table that slides into a tunnel-shaped device where the x rays are taken. The procedure is performed in an outpatient center or hospital by an x-ray technician, and the images are interpreted by a radiologist; anesthesia is not needed. CT scans can provide clearer, more detailed images to help the health care provider understand the problem.  - Magnetic resonance imaging (MRI). MRI machines use radio waves and magnets to produce detailed pictures of the bodys internal organs and soft tissues without using x rays. An MRI may include the injection of contrast medium. With most MRI machines, the child lies on a table that slides into a tunnel-shaped device that may be open ended or closed at one end; some newer machines are designed to allow the child to lie in a more open space. The procedure is performed in an outpatient center or hospital by a specially trained technician, and the images are interpreted by a radiologist; anesthesia is not needed, though light sedation may be used for children with a fear of confined spaces. Like CT scans, MRIs can provide clearer, more detailed images.  - Radionuclide scan. A radionuclide scan is an imaging technique that relies on the detection of small amounts of radiation after injection of radioactive chemicals. Because the dose of the radioactive chemicals is small, the risk of causing damage to cells is low. Special cameras and computers are used to create images of the radioactive chemicals as they pass through the kidneys. Radionuclide scans are performed in a health care providers office, outpatient center, or hospital by a specially trained technician, and the images are interpreted by a radiologist; anesthesia is not needed. Radioactive chemicals injected into the blood can provide information about kidney function. Radioactive chemicals can also be put into the fluids used to fill the bladder and urethra for x ray, MRI, and CT imaging. Radionuclide scans expose a child to about the same amount or less of radiation as a conventional x ray.  - Urodynamics. Urodynamic testing is any procedure that looks at how well the bladder, sphincters, and urethra are storing and releasing urine. Most of these tests are performed in the office of a urologista doctor who specializes in urinary problemsby a urologist, physician assistant, or nurse practitioner. Some procedures may require light sedation to keep the child calm. Most urodynamic tests focus on the bladders ability to hold urine and empty steadily and completely. Urodynamic tests can also show whether the bladder is having abnormal contractions that cause leakage. A health care provider may order these tests if there is evidence that the child has some kind of nerve damage or dysfunctional voidingunhealthy urination habits such as holding in urine when the bladder is full.",NIDDK,Urinary Tract Infections in Children,Kidney/Renal,True
Who is at risk for Heart Attack? ?,"Certain risk factors make it more likely that you'll develop coronary heart disease (CHD) and have a heart attack. You can control many of these risk factors.
                
Risk Factors You Can Control
                
The major risk factors for a heart attack that you can control include:
                
Smoking
                
High blood pressure
                
High blood cholesterol
                
Overweight and obesity
                
An unhealthy diet (for example, a diet high in saturated fat, trans fat, cholesterol, and sodium)
                
Lack of routine physical activity
                
High blood sugar due to insulin resistance or diabetes
                
Some of these risk factorssuch as obesity, high blood pressure, and high blood sugartend to occur together. When they do, it's called metabolic syndrome.
                
In general, a person who has metabolic syndrome is twice as likely to develop heart disease and five times as likely to develop diabetes as someone who doesn't have metabolic syndrome.
                
For more information about the risk factors that are part of metabolic syndrome, go to the Health Topics Metabolic Syndrome article.
                
Risk Factors You Can't Control
                
Risk factors that you can't control include:
                
Age. The risk of heart disease increases for men after age 45 and for women after age 55 (or after menopause).
                
Family history of early heart disease. Your risk increases if your father or a brother was diagnosed with heart disease before 55 years of age, or if your mother or a sister was diagnosed with heart disease before 65 years of age.
                
Preeclampsia (pre-e-KLAMP-se-ah). This condition can develop during pregnancy. The two main signs of preeclampsia are a rise in blood pressure and excess protein in the urine. Preeclampsia is linked to an increased lifetime risk of heart disease, including CHD, heart attack, heart failure, and high blood pressure.",NHLBI,Heart Attack,Cardiovascular,True
What is (are) Colorectal Cancer ?,"Parents, siblings, or children of a person who has had colorectal cancer are somewhat more likely to develop this type of cancer themselves. This is especially true if the relative had the cancer at a young age. If many family members have had colorectal cancer, the chances increase even more.",NIHSeniorHealth,Colorectal Cancer,Gastrointestinal,True
What causes Dry Eye ?,"If your eyes dont make enough tears it can cause dry eye. Anything that changes the components of tears can cause dry eye. Many factors can lead to dry eye, including aging, medications, problems with eyelid function, disease, some types of eye surgery, environmental factors, and allergies.",NIHSeniorHealth,Dry Eye,Unrelated,False
What is (are) Kidney Disease ?,"When your kidneys fail, they are no longer able to filter blood and remove waste from your body well enough to maintain health. Kidney failure causes harmful waste and excess fluid to build up in your body. Your blood pressure may rise, and your hands and feet may swell. Since the kidneys are not working well, the goal is to find treatments that can replace kidney function in order to maintain health. There are two main options for this: dialysis and transplantation.",NIHSeniorHealth,Kidney Disease,Kidney/Renal,True
What is (are) High Blood Cholesterol ?,"Cholesterol is a waxy, fat-like substance that your liver makes. It is also found in some foods that come from animals.",NIHSeniorHealth,High Blood Cholesterol,Cardiovascular,True
What are the symptoms of Kidney Disease ?,"Kidney disease is often called a ""silent"" disease, because most people have no symptoms in early kidney disease. In fact, you might feel just fine until your kidneys have almost stopped working. Do NOT wait for symptoms! Blood and urine tests are the only way to check for kidney damage or measure kidney function. (Watch the video to learn more about the symptoms of kidney disease. To enlarge the video, click the brackets in the lower right-hand corner. To reduce the video, press the Escape (Esc) button on your keyboard.)",NIHSeniorHealth,Kidney Disease,Kidney/Renal,True
What to do for Cirrhosis ?,"- Cirrhosis is a condition in which the liver slowly deteriorates and is unable to function normally due to chronic, or long lasting, injury. Scar tissue replaces healthy liver tissue and partially blocks the flow of blood through the liver.  - The most common causes of cirrhosis in the United States are chronic hepatitis C, alcohol-related liver disease, nonalcoholic fatty liver disease (NAFLD) and nonalcoholic steatohepatitis (NASH), and chronic hepatitis B.  - Many people with cirrhosis have no symptoms in the early stages of the disease. However, as the disease progresses, a person may experience the following symptoms:      - fatigue, or feeling tired    - weakness    - itching    - loss of appetite    - weight loss    - nausea    - bloating of the abdomen from ascitesa buildup of fluid in the abdomen    - edemaswelling due to a buildup of fluidin the feet, ankles, or legs    - spiderlike blood vessels, called spider angiomas, on the skin    - jaundice, a condition that causes the skin and whites of the eyes to turn yellow    - As the liver fails, complications may develop. In some people, complications may be the first signs of the disease.  - A health care provider usually diagnoses cirrhosis based on the presence of conditions that increase its likelihood, such as heavy alcohol use or obesity, and symptoms. A health care provider may confirm the diagnosis with      - a medical and family history    - a physical exam    - a blood test    - imaging tests    - a liver biopsy    - Treatment for cirrhosis depends on the cause of the disease and whether complications are present.  - A health care provider may consider a liver transplant when cirrhosis leads to liver failure or treatment for complications is ineffective.",NIDDK,Cirrhosis,Gastrointestinal,True
